FID,POWER,ADDRESS,SIGNS,S1_1,SPEED,geom
School_Flashing_Signs.1,electric,,25 fines dbl w/flash,,25,POINT (1364982.716365343 561292.8771517291)
School_Flashing_Signs.2,solar,,25 fines dbl w/flash,,25,POINT (1365333.620553045 559592.4990611961)
School_Flashing_Signs.3,solar,,25 fines dbl w/flash,,25,POINT (1366056.2080755108 561189.2740804643)
School_Flashing_Signs.4,electric,,S1-1/fines dbl flash,School,25,POINT (1361472.2111681066 560943.1436201995)
School_Flashing_Signs.5,solar,,S1-1/fines dbl flash,School,25,POINT (1361107.8444344208 560500.3429229575)
School_Flashing_Signs.6,solar,,S1-1/fines dbl flash,School,25,POINT (1362020.370920872 560437.1274896433)
School_Flashing_Signs.7,electric,,25 fines dbl w/flash,,25,POINT (1358735.8023649252 561611.2956306448)
School_Flashing_Signs.8,electric,,25 fines dbl w/flash,,25,POINT (1357594.1199327102 560927.6324259142)
School_Flashing_Signs.9,electric,,25 fines dbl w/flash,,25,POINT (1357434.032701123 560893.3907328689)
School_Flashing_Signs.10,electric,,25 fines dbl w/flash,,25,POINT (1355537.862365742 560903.3413103351)
School_Flashing_Signs.11,solar,,25 fines dbl w/flash,,25,POINT (1356072.8522365673 559529.8689559682)
School_Flashing_Signs.12,solar,,25 fines dbl w/flash,,25,POINT (1356187.2838774275 560707.5490654871)
School_Flashing_Signs.13,solar,,S1-1/fines dbl flash,,25,POINT (1346090.374389753 555941.2224592185)
School_Flashing_Signs.14,electric,,S1-1/fines dbl flash,,25,POINT (1346815.0105605207 553366.9495359262)
School_Flashing_Signs.15,electric,,25 fines dbl w/flash,,25,POINT (1347944.9864310108 555974.8788241774)
School_Flashing_Signs.16,solar,,25 fines dbl w/flash,,25,POINT (1348773.8110011294 556079.3598875717)
School_Flashing_Signs.17,solar,,S1-1/fines dbl flash,,25,POINT (1350962.3527155884 554285.0366391968)
School_Flashing_Signs.18,electric,,S1-1/fines dbl flash,,25,POINT (1351468.3688461445 553242.2746535566)
School_Flashing_Signs.19,electric,,S1-1/fines dbl flash,School,25,POINT (1350493.7975825516 552849.5195076882)
School_Flashing_Signs.20,solar,,25 fines dbl w/flash,,25,POINT (1351466.6128618857 547500.2061275226)
School_Flashing_Signs.21,solar,,25 fines dbl w/flash,,25,POINT (1352459.0366321092 546963.1676083956)
School_Flashing_Signs.22,electric,,25 fines dbl w/flash,,25,POINT (1360378.5256389633 546800.4464004203)
School_Flashing_Signs.23,electric,,25 fines dbl w/flash,,25,POINT (1360323.5047988566 548137.335749397)
School_Flashing_Signs.24,solar,,25 fines dbl w/flash,,25,POINT (1369703.972708971 560422.2016234441)
School_Flashing_Signs.25,solar,,25 fines dbl w/flash,,25,POINT (1372770.7992168358 556786.7288797951)
School_Flashing_Signs.26,electric,,25 fines dbl w/flash,,25,POINT (1373513.2878942338 556481.772946863)
School_Flashing_Signs.27,electric,,S1-1/fines dbl flash,School,25,POINT (1359240.647839309 570113.1860833098)
School_Flashing_Signs.28,solar,,S1-1/fines dbl flash,School,25,POINT (1358761.2641366767 569020.9638743822)
School_Flashing_Signs.29,electric,,S1-1/fines dbl flash,,25,POINT (1344457.0163650948 566902.0762021862)
School_Flashing_Signs.30,solar,,25 fines dbl w/flash,,25,POINT (1356876.5076989774 556196.1328407769)
School_Flashing_Signs.31,solar,,25 fines dbl w/flash,,25,POINT (1356055.585058023 555207.8063671573)
School_Flashing_Signs.32,solar,,S1-1/fines dbl flash,,25,POINT (1370456.704627878 573567.2071202239)
School_Flashing_Signs.33,solar,,S1-1/fines dbl flash,,25,POINT (1371497.4179652163 575151.982913724)
School_Flashing_Signs.34,solar,,S1-1/fines dbl flash,,25,POINT (1372072.210145906 574281.6000494822)
School_Flashing_Signs.35,solar,,25 fines dbl w/flash,,25,POINT (1377186.8069634887 563718.1840770729)
School_Flashing_Signs.36,solar,,25 fines dbl w/flash,,25,POINT (1377907.0531736093 563689.7956648901)
School_Flashing_Signs.37,electric,,25 fines dbl w/flash,,25,POINT (1387758.7101931486 562574.1603325128)
School_Flashing_Signs.38,electric,,25 fines dbl w/flash,,25,POINT (1388940.194935228 562121.9943858909)
School_Flashing_Signs.39,electric,,25 fines dbl w/flash,,25,POINT (1375463.015749506 569900.4193239609)
School_Flashing_Signs.40,electric,,25 fines dbl w/flash,,25,POINT (1376772.9800065155 571083.3673862559)
School_Flashing_Signs.41,electric,,25 fines dbl w/flash,,25,POINT (1377242.1204676386 571787.224409962)
School_Flashing_Signs.42,electric,,25 fines dbl w/flash,,25,POINT (1377117.445585269 572922.1755691852)
School_Flashing_Signs.43,solar,,25 fines dbl w/flash,,25,POINT (1377796.1335012666 573330.7345733821)
School_Flashing_Signs.44,solar,,25 fines dbl w/flash,,25,POINT (1370711.0296813503 561883.4731907473)
School_Flashing_Signs.45,electric,,25 fines dbl w/flash,,25,POINT (1370056.0475528454 561235.5149992774)
School_Flashing_Signs.46,solar,,25 fines dbl w/flash,,25,POINT (1372021.286602403 553708.1958102053)
School_Flashing_Signs.47,solar,,25 fines dbl w/flash,,25,POINT (1363597.8301132943 595526.6682677219)
School_Flashing_Signs.48,solar,,25 fines dbl w/flash,,25,POINT (1364496.894053762 595030.3100505887)
School_Flashing_Signs.49,solar,,25 fines dbl w/flash,,25,POINT (1364877.0646457763 595029.1393944161)
School_Flashing_Signs.50,solar,,S1-1/fines dbl flash,,25,POINT (1364237.0083834706 596020.9778365532)
School_Flashing_Signs.51,solar,,25 fines dbl w/flash,,25,POINT (1359482.68100297 591890.0248679003)
School_Flashing_Signs.52,solar,,25 fines dbl w/flash,,25,POINT (1360121.27394506 591102.7585919048)
School_Flashing_Signs.53,electric,,25 fines dbl w/flash,,25,POINT (1350923.7210618963 583197.6101231634)
School_Flashing_Signs.54,electric,,25 fines dbl w/flash,,25,POINT (1351387.8862342862 581621.6142509569)
School_Flashing_Signs.55,solar,,25 fines dbl w/flash,,25,POINT (1350307.6632511267 579004.612377369)
School_Flashing_Signs.56,solar,,25 fines dbl w/flash,,25,POINT (1349880.0810841268 576721.8328410251)
School_Flashing_Signs.57,electric,,S1-1/fines dbl flash,,25,POINT (1363978.5860333948 567226.6406260073)
School_Flashing_Signs.58,solar,,S1-1/fines dbl flash,,25,POINT (1364738.0492252938 566960.0236827242)
School_Flashing_Signs.59,electric,,25 fines dbl w/flash,,25,POINT (1360366.8190772384 539390.4854926397)
School_Flashing_Signs.60,solar,,25 fines dbl w/flash,,25,POINT (1361275.8335951723 539595.3503228244)
School_Flashing_Signs.61,solar,,25 fines dbl w/flash,,25,POINT (1361606.5439638991 539643.3472258963)
School_Flashing_Signs.62,solar,,25 fines dbl w/flash,,25,POINT (1362982.0649665678 539758.3641948429)
School_Flashing_Signs.63,solar,,25 fines dbl w/flash,,25,POINT (1361472.2111681066 539144.6476964181)
School_Flashing_Signs.64,solar,,25 fines dbl w/flash,,25,POINT (1361646.3462737636 538568.0995314698)
School_Flashing_Signs.65,solar,,25 fines dbl w/flash,,25,POINT (1362128.9492808701 536619.5423323701)
School_Flashing_Signs.66,solar,,25 fines dbl w/flash,,25,POINT (1362243.0882576872 535977.7300858058)
School_Flashing_Signs.67,solar,,25 fines dbl w/flash,,25,POINT (1357462.4211133057 534444.1704998517)
School_Flashing_Signs.68,solar,,25 fines dbl w/flash,,25,POINT (1356985.3787230186 534810.8785458823)
School_Flashing_Signs.69,solar,,25 fines dbl w/flash,,25,POINT (1360733.5271232692 527436.9153154056)
School_Flashing_Signs.70,solar,,S1-1/fines dbl flash,,25,POINT (1356505.7023563432 529000.9119618442)
School_Flashing_Signs.71,solar,,S1-1/fines dbl flash,,25,POINT (1356105.92327344 529244.701109764)
School_Flashing_Signs.72,solar,,25 fines dbl w/flash,,25,POINT (1353273.5206641147 537072.2936070783)
School_Flashing_Signs.73,electric,,25 fines dbl w/flash,,25,POINT (1352406.9424324336 537173.8480300413)
School_Flashing_Signs.74,solar,,25 fines dbl w/flash,,25,POINT (1348139.3153556432 539386.095531993)
School_Flashing_Signs.75,electric,,S1-1/fines dbl flash,,25,POINT (1346597.5611764817 540479.488397093)
School_Flashing_Signs.76,solar,,S1-1/fines dbl flash,,25,POINT (1347498.381101208 541151.4450400987)
School_Flashing_Signs.77,solar,,25 fines dbl w/flash,,25,POINT (1312474.982396875 585981.1378372873)
School_Flashing_Signs.78,solar,,25 fines dbl w/flash,,25,POINT (1310939.6668266621 587223.7893643791)
School_Flashing_Signs.79,solar,,25 fines dbl w/flash,,25,POINT (1316958.5955374886 574609.0911137346)
School_Flashing_Signs.80,solar,,25 fines dbl w/flash,,25,POINT (1316188.8891040804 572948.222669023)
School_Flashing_Signs.81,solar,,25 fines dbl w/flash,,25,POINT (1316526.330745799 581752.7277422751)
School_Flashing_Signs.82,solar,,25 fines dbl w/flash,,25,POINT (1318095.3026809706 581958.7632286323)
School_Flashing_Signs.83,solar,,25 fines dbl w/flash,,25,POINT (1318261.8285215064 582257.5732166588)
School_Flashing_Signs.84,electric,,25 fines dbl w/flash,,25,POINT (1318853.8878807402 582615.2086773528)
School_Flashing_Signs.85,electric,,30 fines dbl w/flash,,30,POINT (1323904.6839369226 579050.5606321389)
School_Flashing_Signs.86,solar,,30 fines dbl w/flash,,30,POINT (1325140.6041910225 579173.4795302497)
School_Flashing_Signs.87,solar,,35 fines dbl w/flash,,35,POINT (1340592.0950116387 595401.9933853523)
School_Flashing_Signs.88,solar,,35 fines dbl w/flash,,35,POINT (1340460.3961922342 594203.5341287719)
School_Flashing_Signs.89,solar,,30 fines dbl w/flash,,30,POINT (1332742.5527110905 555018.7453953011)
School_Flashing_Signs.90,solar,,25 fines dbl w/flash,,25,POINT (1332455.4492847887 555224.7808816583)
School_Flashing_Signs.91,solar,,25 fines dbl w/flash,,25,POINT (1285598.472660901 612592.4939501936)
School_Flashing_Signs.92,solar,,35 fines dbl w/flash,,35,POINT (1283978.2845181832 612679.1225069574)
School_Flashing_Signs.93,solar,,30 fines dbl w/flash,,30,POINT (1334047.83434341 554323.0829648025)
School_Flashing_Signs.94,solar,,25 fines dbl w/flash,,25,POINT (1361248.9085032053 526140.9989324658)
School_Flashing_Signs.95,solar,,25 fines dbl w/flash,,25,POINT (1344229.6164035897 564282.7330162532)
School_Flashing_Signs.96,electric,,25 fines dbl w/flash,,25,POINT (1344016.8496442407 565247.9390304664)
School_Flashing_Signs.97,solar,,25 fines dbl w/flash,,25,POINT (1350005.6339586258 566765.6947580918)
School_Flashing_Signs.98,solar,,25 fines dbl w/flash,,25,POINT (1350541.7944856235 566580.7310828393)
