FID,Name,Address,City,Zipcode,geom
Schools_Middle.fid--710a7ce6_150abe9529f_-e1e,Burleigh Manor MS,4200 CENTENNIAL LN,Ellicott City,21042,POINT (1349837.3521338312 578560.0556958681)
Schools_Middle.fid--710a7ce6_150abe9529f_-e1d,Elkridge Landing,7085 MONTGOMERY RD,Elkridge,21075,POINT (1389179.886786544 563071.6892058186)
Schools_Middle.fid--710a7ce6_150abe9529f_-e1c,Lime Kiln,11650 SCAGGSVILLE RD,Fulton,20759,POINT (1336176.087264986 541910.6155679546)
Schools_Middle.fid--710a7ce6_150abe9529f_-e1b,Patapsco,8885 OLD FREDERICK RD,Ellicott City,21043,POINT (1364081.3111125303 594207.0460972893)
Schools_Middle.fid--710a7ce6_150abe9529f_-e1a,Patuxent Valley,9151 VOLLMERHAUSEN RD,Jessup,20794,POINT (1361027.9471506488 539147.8670008924)
Schools_Middle.fid--710a7ce6_150abe9529f_-e19,Oakland Mills,9540 KILIMANJARO RD,Columbia,21045,POINT (1356673.6915170946 561196.8833455854)
Schools_Middle.fid--710a7ce6_150abe9529f_-e18,Murray Hill,9989 WINTER SUN RD,Laurel,20723,POINT (1352696.9724991664 538549.36903271)
Schools_Middle.fid--710a7ce6_150abe9529f_-e17,Folly Quarter,13500 TRIADELPHIA RD,Ellicott City,21042,POINT (1316869.0403402937 582511.898270131)
Schools_Middle.fid--710a7ce6_150abe9529f_-e16,Bonnie Branch,4979 ILCHESTER RD,Ellicott City,21043,POINT (1376669.3769352506 570244.0069105849)
Schools_Middle.fid--710a7ce6_150abe9529f_-e15,Wilde Lake,10481 CROSS FOX LN,Columbia,21044,POINT (1347310.1981214813 564995.9552893392)
Schools_Middle.fid--710a7ce6_150abe9529f_-e14,Mayfield Woods,7950 RED BARN WAY,Elkridge,21075,POINT (1372870.0123274538 557665.5990012875)
Schools_Middle.fid--710a7ce6_150abe9529f_-e13,Harpers Choice,5450 BEAVERKILL RD,Columbia,21044,POINT (1344093.5276235384 567427.4081595883)
Schools_Middle.fid--710a7ce6_150abe9529f_-e12,Mount View,12101 WOODFORD DR,Marriottsville,21104,POINT (1330267.4928984162 602387.0061025212)
Schools_Middle.fid--710a7ce6_150abe9529f_-e11,Glenwood,2680 RT 97,Glenwood,21738,POINT (1305446.362737281 593950.6723955153)
Schools_Middle.fid--710a7ce6_150abe9529f_-e10,Clarksville,6535 SOUTH TROTTER RD,Clarksville,21029,POINT (1333861.407347942 554937.9701193997)
Schools_Middle.fid--710a7ce6_150abe9529f_-e0f,Ellicott Mills,4445 MONTGOMERY RD,Ellicott City,21043,POINT (1365863.049807051 576746.1239566042)
Schools_Middle.fid--710a7ce6_150abe9529f_-e0e,Thomas Viaduct,7000 BANBURY DR,Hanover,21076,POINT (1387390.2461628593 553122.8677239633)
Schools_Middle.fid--710a7ce6_150abe9529f_-e0d,Dunloggin,9129 NORTHFIELD RD,Ellicott City,21042,POINT (1359899.7272644173 579040.902718716)
Schools_Middle.fid--710a7ce6_150abe9529f_-e0c,Lake Elkhorn,6680 CRADLEROCK WAY,Columbia,21045,POINT (1356658.4729868523 555378.72216834)
Schools_Middle.fid--710a7ce6_150abe9529f_-e0b,Hammond,8100 ALADDIN DR,Laurel,20723,POINT (1346637.6561503892 539708.6113075123)
